,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADMIN1,ISO3,ISO-ADMIN1,Physical exposure to flood,Physical exposure to drought,Natural,Political violence,Conflict probability,Human,HAZARD,Development & Deprivation,Inequality,Socio-Economic Vulnerability,Uprooted people,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Private Infrastructure,Public Infrastructure,Social Infrastructure,Infrastructure,Income and jobs,Access to Finance,Access to insurance,Financial & economic system,LACK OF COPING CAPACITY,RISK
(a-z),(a-z),(a-z),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),,(0-10),,(0-10),(0-10)
Kenya,Nandi,KEN,KE-ND,8.9,2.5,6.7,6.4,8.4,6.4,6.6,5.6,4.7,5.3,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.7
Kenya,Narok,KEN,KE-NR,8.4,6.7,7.7,6.4,8.4,6.4,7.1,5.6,4.5,5.2,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.9
Kenya,Nyamira,KEN,KE-NM,9.1,2.0,6.8,0.0,8.4,5.9,6.4,5.2,4.5,5.0,3.6,0.0,0.0,0.0,2.0,3.6,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.6
Kenya,Nyandarua,KEN,KE-NN,5.6,2.0,4.1,3.6,8.4,5.9,5.0,4.6,4.2,4.5,3.6,0.0,0.0,0.0,2.0,3.3,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.0
Kenya,Nyeri,KEN,KE-NI,9.7,4.5,8.1,3.6,8.4,5.9,7.1,4.1,3.6,3.9,3.6,0.0,10.0,7.6,6.0,5.0,8.1,6.6,7.4,6.7,8.2,x,7.5,9.4,8.4,5.0,7.6,7.5,6.4
Kenya,Samburu,KEN,KE-SA,5.4,6.8,6.1,6.4,8.4,6.4,6.3,6.5,4.6,5.9,3.6,0.0,10.0,7.6,6.0,5.9,8.1,6.6,7.4,6.7,6.9,x,6.8,9.4,8.4,5.0,7.6,7.3,6.5
Kenya,Siaya,KEN,KE-SI,10.0,6.4,8.8,0.4,8.4,5.9,7.7,6.2,4.6,5.7,3.6,0.0,0.0,0.0,2.0,4.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.2
Kenya,Taita Taveta,KEN,KE-TT,0.6,6.4,4.1,6.4,8.4,6.4,5.3,5.4,5.1,5.3,3.6,0.0,10.0,7.6,6.0,5.6,8.1,6.6,7.4,6.7,7.5,x,7.1,9.4,8.4,5.0,7.6,7.4,6.1
Kenya,Tana River,KEN,KE-TR,10.0,6.3,8.8,10.0,8.4,10.0,9.5,6.8,7.0,6.9,3.6,0.0,10.0,7.6,6.0,6.5,8.1,6.6,7.4,6.7,7.7,x,7.2,9.4,8.4,5.0,7.6,7.4,7.7
Kenya,Tharaka - Nithi,KEN,KE-NT,8.2,6.5,7.5,3.6,8.4,5.9,6.7,5.6,4.5,5.2,3.6,0.0,10.0,7.6,6.0,5.6,8.1,6.6,7.4,6.7,8.1,x,7.4,9.4,8.4,5.0,7.6,7.4,6.5
Kenya,Trans Nzoia,KEN,KE-TN,7.6,1.4,5.3,6.4,8.4,6.4,5.9,5.7,4.7,5.4,3.6,0.0,0.0,0.0,2.0,3.9,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.6
Kenya,Turkana,KEN,KE-TU,9.1,7.4,8.4,10.0,8.4,10.0,9.4,7.2,4.2,6.2,7.9,0.0,10.0,7.6,7.8,7.1,8.1,6.6,7.4,6.7,7.1,x,6.9,9.4,8.4,5.0,7.6,7.3,7.8
Kenya,Uasin Gishu,KEN,KE-UG,10.0,6.6,8.9,6.4,8.4,6.4,7.9,5.0,4.9,5.0,3.6,0.0,0.0,0.0,2.0,3.6,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.0
Kenya,Vihiga,KEN,KE-VI,10.0,1.6,7.9,1.0,8.4,5.9,7.0,5.7,4.4,5.3,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.9
